Date,Citi_Open,HSBC_Open,BOA_Open,Benchmark_Index,Volume
02-08-2011,36.932,37.15,35.403,35.479,1762849
03-08-2011,35.461,35.932,34.848,35.847,1287282
04-08-2011,35.403,35.423,33.754,33.78,2665416
05-08-2011,34.234,34.33,32.151,32.59,5710668
08-08-2011,31.601,31.986,29.457,29.457,4772985
09-08-2011,30.242,33.075,29.904,32.998,5847864
10-08-2011,32.527,33.084,31.215,31.471,5911797
11-08-2011,31.781,33.347,31.168,33.027,3987927
12-08-2011,33.356,33.581,32.47,32.715,2212393
15-08-2011,33.112,33.678,32.872,33.629,1933183
16-08-2011,33.084,33.084,31.81,31.967,3978425
17-08-2011,32.084,32.178,31.374,31.565,1778647
18-08-2011,30.667,30.667,29.12,29.687,5429964
19-08-2011,29.308,30.025,28.688,28.825,4120764
22-08-2011,29.545,29.705,28.167,28.561,2624855
23-08-2011,28.629,29.156,27.881,29.156,3618768
24-08-2011,29.156,30.836,28.989,30.311,3443256
25-08-2011,31.168,31.8,29.788,30.091,2371177
26-08-2011,29.952,31.685,29.705,31.245,2376205
29-08-2011,32.358,32.403,31.771,32.403,1522760
30-08-2011,32.169,32.715,31.705,32.376,1729314
31-08-2011,32.518,33.167,32.349,32.62,1947787
01-09-2011,32.668,33.084,32.121,32.223,2994420
02-09-2011,31.506,31.751,30.762,30.913,1402021
06-09-2011,30.412,30.808,29.989,30.613,1749159
07-09-2011,31.187,32.299,30.96,32.169,1247600
08-09-2011,31.8,32.121,31.215,31.364,1169037
09-09-2011,30.97,31.09,30.101,30.213,1635167
12-09-2011,29.961,30.97,29.837,30.97,1632527
13-09-2011,30.951,31.516,30.487,30.846,1633977
14-09-2011,31.159,31.839,30.684,31.601,1697552
15-09-2011,31.923,32.368,31.205,32.329,1686619
16-09-2011,32.48,32.794,31.8,32.638,1347051
19-09-2011,31.791,32.421,31.345,32.084,1263032
20-09-2011,32.084,32.724,31.941,32.214,1368221
21-09-2011,32.169,32.527,30.497,30.506,2350749
22-09-2011,29.798,30.301,29.064,30.138,2397576
23-09-2011,29.865,30.412,29.649,30.101,2248289
26-09-2011,30.535,30.782,29.731,30.782,1834909
27-09-2011,31.574,31.574,30.355,30.613,2195899
28-09-2011,30.808,30.885,29.422,29.448,1767528
29-09-2011,30.053,30.233,29.064,29.827,1858508
30-09-2011,29.196,29.338,28.649,28.658,1387682
03-10-2011,28.27,28.873,27.43,27.479,2456725
04-10-2011,27.241,28.15,26.12,27.988,3447165
05-10-2011,28.061,28.477,27.401,28.326,1361333
06-10-2011,28.175,29.318,27.811,29.289,1456124
07-10-2011,29.318,29.76,28.414,28.433,1791171
10-10-2011,28.941,29.658,28.873,29.649,1144668
11-10-2011,29.261,30.043,29.025,29.725,694759
12-10-2011,29.856,31.159,29.847,31.006,1398036
13-10-2011,30.723,31.335,30.487,30.988,1985722
14-10-2011,31.327,31.638,30.675,31.364,1517390
17-10-2011,31.071,31.09,30.449,30.555,1073429
18-10-2011,30.64,32.63,30.574,32.45,1759754
19-10-2011,32.289,32.45,31.81,31.849,1104108
20-10-2011,31.83,32.279,31.13,32.204,1047344
21-10-2011,32.754,33.659,32.44,33.28,5544661
24-10-2011,33.167,34.393,33.057,33.808,2038722
25-10-2011,33.093,33.942,32.121,32.508,2015900
26-10-2011,32.978,34.292,32.846,33.572,3588141
27-10-2011,34.838,35.262,34.148,34.536,3077271
28-10-2011,34.467,34.585,33.746,33.78,1297058
31-10-2011,33.186,33.698,32.872,32.882,1232503
01-11-2011,31.619,32.411,31.289,31.451,1860075
02-11-2011,32.024,32.784,31.967,32.44,1053026
03-11-2011,32.891,33.59,32.054,33.527,1169880
04-11-2011,33.13,33.545,32.687,33.261,917940
07-11-2011,33.442,33.659,32.931,33.61,791223
08-11-2011,33.736,34.101,33.271,33.972,949664
09-11-2011,33.027,33.027,31.82,31.904,1199806
10-11-2011,32.376,32.572,31.932,32.545,1136161
11-11-2011,32.891,33.139,32.764,33.066,905958
14-11-2011,32.828,32.856,31.364,31.516,1968678
15-11-2011,31.355,31.516,30.111,30.525,3231405
16-11-2011,30.147,30.97,30.072,30.403,1732709
17-11-2011,30.403,30.667,29.395,29.63,1727320
18-11-2011,29.76,30.147,29.526,29.894,746730
21-11-2011,29.261,29.395,28.308,29.156,2220194
22-11-2011,29.074,29.308,28.668,28.893,1261159
23-11-2011,28.442,28.864,28.308,28.496,1320071
25-11-2011,28.365,28.941,28.289,28.561,681296
28-11-2011,29.678,30.355,29.516,30.016,2689631
29-11-2011,29.952,30.196,29.582,29.788,1915079
30-11-2011,30.782,31.967,30.667,31.95,2005729
01-12-2011,31.676,32.141,31.272,31.781,1322901
02-12-2011,32.084,32.411,31.941,32.084,1827277
05-12-2011,32.536,32.961,32.074,32.536,1192320
06-12-2011,32.329,32.562,31.858,32.319,1519016
07-12-2011,32.054,32.687,31.849,32.572,1296828
08-12-2011,32.368,32.368,31.82,31.849,2170349
09-12-2011,32.159,32.658,32.064,32.223,878608
12-12-2011,32.024,32.403,31.451,31.791,1739391
13-12-2011,32.084,32.518,31.695,31.913,2228060
14-12-2011,31.601,32.074,31.335,31.638,1902623
15-12-2011,32.064,32.828,31.941,32.63,1586810
16-12-2011,33.057,33.61,32.358,32.784,1701945
19-12-2011,32.764,32.998,31.884,32.103,1164887
20-12-2011,32.754,33.008,32.582,32.891,1402961
21-12-2011,32.872,33.708,32.562,33.518,1199531
22-12-2011,33.688,34.384,33.639,34.001,1212528
